Order,Type,Name,Province,Location,Episode,Mission,Notes,Leads to…
1,VIP Profile,Kerri's beloved compass.,Cape North,Traces of Ancient Ruins,Operation Geenstone,Eco-warrior,"Lighthouse on W end of Twin Islands, rescue Kerri and complete the mission.",
2,VIP Profile,Note to Haruhi Ito,Windy Islands,South Cape Station,Operation Geenstone,N/A,On a table in Haruhi's office.,
3,VIP Profile,Order to Arrest Sigrid Bloom,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,S most mobile building.,
4,VIP Profile,No Bad Apple,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,Armory - biometric door locked mobile building.,
5,VIP Profile,We Got Her!,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,Two story mobile building next to helipad.,
6,VIP Profile,RE: Becker,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,S most mobile building.,
7,VIP Profile,Fishing Party,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,Two story mobile building next to helipad.,
8,VIP Profile,Take Control,Restricted Area 01,Camp Fox,Operation Geenstone,N/A,Two story mobile building next to helipad.,
9,VIP Profile,Message from Nomad to Schulz,Sinking Country,Schulz Homestead,Operation Motherland,N/A,"Central building, second floor on a table.",
10,VIP Profile,RE: Weird Readings,Good Hope Mountain,Auroa Weather Station,Operation Geenstone,N/A,"Second floor workroom, main building.",
11,VIP Profile,Re: You Know I'm Right,Good Hope Mountain,Auroa Weather Station,Operation Geenstone,N/A,Top floor main control room.,
12,VIP Profile,There Is No Bloop,Good Hope Mountain,Auroa Weather Station,Operation Geenstone,N/A,"Second floor workroom, main building.",
13,VIP Profile,Requisition of video equipments,Lake Country,Skell Security Operations,Operation Motherland,N/A,"First floor, W most building.",
14,VIP Profile,An easter egg memory,Sector 2,Quantum Computer Center,Operation Motherland,Like a Snake,No spoilers! Complete the secret mission.,
15,VIP Profile,Gibson is Over,Lake Country,Ancient Fort,Operation Geenstone,N/A,Below the sniper tower with the gear chest near center of site.,
16,VIP Profile,Incidents under your command,Lake Country,Ancient Fort,Operation Geenstone,N/A,On a table on the E side of the SW most building. Not listed on map marker.,
17,VIP Profile,Sigrid Bloom's Trial,Windy Islands,South Cape Station,Operation Geenstone,Loss of Innocence,Speak with Haruhi to start the mission.,
18,VIP Profile,Ultralifestyle Magazine,New Argyll,Skell Estate,Operation Geenstone,N/A,Second floor (dining and jazz) on a coffee table.,
19,VIP Profile,Newspaper Clipping,New Argyll,Skell Estate,Operation Geenstone,N/A,Third floor on a coffee table.,
20,VIP Profile,Photo of Skell and Fox,Lake Country,Skell Security R&D Center,Operation Geenstone,N/A,"E building, second floor - 1 Dev B on sign outside door.",
21,VIP Profile,Diane's Last Email,New Argyll,Skell Estate,Operation Geenstone,N/A,First floor nightstand in the bedroom.,
22,VIP Profile,Photo at the Science Fair,New Argyll,Skell Estate,Operation Geenstone,N/A,First floor desk in the office.,
23,VIP Profile,Harmony's Drawing,New Argyll,Skell Estate,Operation Geenstone,N/A,Third floor end of the pool deck.,
24,VIP Profile,Birthday Wishes,New Stirling,Skell Technology Location,Operation Geenstone,N/A,"E beach house, just S of Clipper Islet.",
25,VIP Profile,Skell's Therapist's Email,Restricted Area 01,Omega Operations,Operation Geenstone,N/A,"Second floor conference room, NE building where skill point chest is.",
26,VIP Profile,Opening Ceremony Photo,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,"Pythagoras Hall - main building, fifth (marked 4) floor Cromwell's office toward N end of building.",
27,VIP Profile,Email about Meeting Skell,Restricted Area 01,Omega R&D Center,Operation Geenstone,N/A,"Building 3 Restaurant, SE side of complex E of helipad.",
28,VIP Profile,Drone Schematics,Infinity,Skell Foundation Head Office,Operation Geenstone,N/A,"Underground complex, workshop on the way to Skell's location. Not listed on map marker.",
29,VIP Profile,Brain Scan Analysis,Channels,Step Up Startup,Operation Geenstone,N/A,"Head office, second floor, main building S side.",
30,VIP Profile,Skell's Last Log,Infinity,Skell Foundation Head Office,Operation Geenstone,N/A,"Underground complex, test range on the way to Skell's location. Not listed on map marker.",
31,VIP Profile,Programmer's Email,Silent Mountain,Auroa Data Farm,Operation Geenstone,N/A,Front (S) end of the NW large building.,
32,VIP Profile,Reinforced Sec,Infinity,Sirius Residences,Operation Geenstone,N/A,"N end of house, by the chopper pad.",
33,VIP Profile,Herzog's Diary,Good Hope Mountain,Natural Hazards Control,Operation Geenstone,N/A,"First floor main building, conference room toward NW corner.",
34,VIP Profile,Walker's Email to Herzog,Good Hope Mountain,Auroa Survival Shelter,Operation Geenstone,N/A,"Second floor, S building, 'war room' over the front.",
35,VIP Profile,Herzog's Torture Logs,Good Hope Mountain,Auroa Survival Shelter,Operation Geenstone,A Great Escape,"N building, SW corner, Herzog's office. Only accessible during mission along with Skell Creds chest.",
36,VIP Profile,Email about the Curfew,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,Heliport terminal building.,
37,VIP Profile,Programmer Operation,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,"Pythagoras Hall - main building, ground floor reception area just inside S end of building.",
38,VIP Profile,Campus Flyer,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,"Archimedes Hall - N compass point of campus, ground floor.",
39,VIP Profile,Photo of Cromwell,Cape North,Skell Foundation Campus,Operation Geenstone,N/A,"Pythagoras Hall - main building, third (marked 2) floor office at S end of building.",
40,VIP Profile,Email from Cromwell,Wild Coast,Engine R&D Center,Operation Geenstone,N/A,"Second floor workshop, central building.",
41,VIP Profile,The Tyrannical Boss,Silent Mountain,Auroa Data Farm,Operation Geenstone,N/A,Back (N) end of the NW large building in the Security Office.,
42,VIP Profile,Blake's Orders,Silent Mountain,Auroa Data Farm,Operation Geenstone,N/A,"NE corner of SW large building, in 1 Data Storage.",
43,VIP Profile,Blake's Coded Message,Silent Mountain,Auroa Data Farm,Operation Geenstone,N/A,"E corner of SW large building, office behind desk.",
44,VIP Profile,Picture of Paula's Wedding,New Stirling,Ettrick Residences,Operation Geenstone,N/A,Paula Madera's house (NE most); second floor office shelves.,
45,VIP Profile,Picture of David in a Wheelchair,New Stirling,Ettrick Residences,Operation Geenstone,N/A,Paula Madera's house (NE most); second floor bedroom.,
46,VIP Profile,ALS Brochure,New Stirling,Ettrick Residences,Operation Geenstone,N/A,Paula Madera's house (NE most); second floor office desk.,
47,VIP Profile,National Science Trophy,New Stirling,Ettrick Residences,Operation Geenstone,N/A,Paula Madera's house (NE most); first floor entryway.,
48,VIP Profile,Framed Science Article,New Stirling,Ettrick Residences,Operation Geenstone,N/A,Paula Madera's house (NE most); first floor dining room.,
49,VIP Profile,Picture of Skell's Staff,Infinity,Skell Technology Head Office,Operation Geenstone,Friendly Fire,"Ayana Puri's office, only accessible during mission.",
50,VIP Profile,Excellence Trophy,Infinity,Skell Technology Head Office,Operation Geenstone,Friendly Fire,"Ayana Puri's office, only accessible during mission. Junk filler. ""Price of Exelence""?",
51,VIP Profile,Desk Plate,Infinity,Skell Technology Head Office,Operation Geenstone,Friendly Fire,"Ayana Puri's office, only accessible during mission. Junk filler, doesn't fit story.",
52,VIP Profile,"Walker's Journal, part 3",Sinking Country,Howard Airfield,Operation Geenstone,N/A,Mobile building E of main building.,
53,VIP Profile,"Walker's Journal, part 4",Sinking Country,Howard Airfield,Operation Geenstone,N/A,Upper room of tower NE of main building.,
54,VIP Profile,"Walker's Journal, part 5",Seal Islands,Shark Base,Operation Geenstone,N/A,"Upper floor, main Ops room, N side.",
55,VIP Profile,"Walker's Journal, part 6",Whalers Bay,Ancient Harbour,Operation Geenstone,N/A,On a barrel at the S round building. Not listed on map marker.,
56,VIP Profile,Souvenir from Afghanistan,Smuggler Coves,Abandoned Site,Operation Geenstone,N/A,SE edge of Dead  Horse Swamp.,
57,VIP Profile,Ghosts' motto,Egg Island,Bioluminescent Cavern,Operation Geenstone,N/A,On the wall at the back of the cave entrance.,
58,VIP Profile,Hawkins and Grant Chat Log,Seal Islands,Naval Base Auroa Airfield,Deep State,N/A,Mobile building just S of prison cells.,
59,VIP Profile,Grant's Report,Good Hope Mountain,Red Weasel Outpost,Deep State,N/A,Main building.,
