Order,Name,Province,Location,Originator,XP,Credits,Other Rewards,Locations,Notes
1,The Price of Trust,Cape North,Construction Site,Maddox in her work area.,"1,600","1,500",-,"Cape North - Construction Site, Skell Technology Location SW of Hidden Cove, NW from Sugarloaf Mount, Sentinel Corp. Location in the Anchorage Arm channel SW of Sugarloaf Mount",After Cromwell's arc? Final Ep 1 mission? Maddox talks as if she's never met you. Also dialog is written for Carter being male but the NPC is female.
2,Ghosts of the Past,Mount Hodgson,Erewhon,Mads Schulz in his tent.,"1,600","1,500",Explorer (Emblem),"Mount Hodgson - Erewhon, Sinking Country - Cold War Site NW edge of Gordon Slough, Schulz Homestead, Anti-aircraft Ruins, Cold War Site bunker N end of peninsula into Typhoon Bay",Available after completing No Way Out.
3,Critical Mass,Mount Hodgson,Erewhon,Mads Schulz in his tent.,"1,600","1,500",Stoner (Blueprint),"Mount Hodgson - Erewhon, Sinking Country - Howard Port, Restricted Area 01 - Camp Ferret, Good Hope Mountain - Food Stockpile",Must have completed Ghosts of the Past.
4,The Titan Program,Mount Hodgson,Erewhon,Jericho at the raid desk in front of Mads' tent.,"1,400","1,500",Elite Weapon Part,"Mount Hodgson - Erewhon, Golem Island - Wreck Ship Bivouac, Insertion Zone","Must have completed the Episode 1 mission No Way Out before talking to Jericho. If the side (orange) mission isn't immediately available, talk to Jericho with the purple How to join the Raid prompt/mission and it should pop."
5,Get the Scoop,Liberty / Channels / Seal Islands,Semi-random spawn,Pair of soldiers with a truck burning posters OR in the central Liberty city a group of soldiers with one cleaning posters off a building OR pair of civilians looking at the posters,"1,600","1,500",Woodland Blue (Weapon Paint),"Liberty / Channels / Seal Islands - semi-random spawn, Seal Islands - Abandoned Site E of MacFarlane Peak, Camp Seal Cove",Reward says Gear paint but grants weapon paint. Woodland Blue weapon looks just like Navy Blue gear.
6,One Man's Hell,Mount Hodgson,Erewhon,Homesteaders standing right of Mad's tent.,"1,600","1,500",Navy Blue (Gear Paint),"Mount Hodgson - Erewhon, Sinking Country - unmarked camp NE of Cold War Site on Gaer Arm, Abandoned Site in Man Eater Slough, Abandoned Site to NE being S of Mossy Pond",It's possible to stumble on locations out of sequence and then skip/miss earlier steps.
7,Cover Up,Cape North,Skell Foundation Campus,Scientist in Pythagoras Hall on third floor (marked 2) in green lecture lab.,"1,600","1,500",Cloaking Spray x4,"Cape north - Skell Foundation Campus, Lake Country - Skell Security R&D Center, Two Lakes Residences, New Stirling - Abandoned Site boat dock S of Murmur Delta","Spray isn't equippable, it's Panther Class item."
8,For Honor,Fen Bog,Ancient Village,Triggers automatically after completing A Soul in Rest.,"3,200","2,500",-,"Fen Bog - Ancient Village N of Fen Bog Port, Liberty - random civilian/soldier and intel at random* locations in province, Abadoned Site NW of Auroa Hospital, Seal Islands - random soldier and intel at random* locations in province, Abandoned Site on S edge of Hunter Island between Cave Site and coastal village, Smuggler Coves - random civilian/soldier/computer at random* locations in province, Abandoned Site SE slope of Discovery Mountain, New Argyll - Abandoned Site on Carrick Ridge over Lake Mary, Silent Mountain - Petermann Mine",
9,Song for a Revolution,Windy Islands,South Cape Station,Haruhi in her HQ OR pair of Outcasts near a table working on musical code.,"1,600","1,500",-,"Windy Islands - South Cape Station, Infinity - Antares District, Outpost Green Viper",
10,Don't Kill the Messenger,Windy Islands,South Cape Station,Haruhi in her HQ after completing Pirate Radio.,"1,600","1,500",516 (Blueprint),"Windy Islands - South Cape Station, Infinity - Control Station Viper 04, Fen Bog - unmarked location on S bank of channel in Summers Swamp",
