Class,Rank,, PvE Challenge,Count,PvP Challenge,Count,Notes
Assault,2,A,Kill enemies with a firearm.,5,Kill enemy players with ASR/STG.,1,
Assault,2,B,Kill 2 enemies in less than 3 seconds.,1,Win Ghost War rounds.,1,
Assault,3,A,Kill enemies with an Assault Rifle or Shotgun.,15,Kill enemy players with ASR/STG.,2,
Assault,3,B,Kill enemies while using True Grit.,1,Mark enemy players.,4,
Assault,4,A,Kill enemies with an Assault Rifle or Shotgun.,20,Kill enemy players with ASR/STG.,5,
Assault,4,B,Kill 3 enemies with ASR or STG without reloading or swapping.,3,Damage multiple enemy players.,7,
Assault,4,C,Kill enemies with grenades.,1,Win Ghost War rounds.,2,
Assault,5,A,Kill enemies with an Assault Rifle or Shotgun.,25,Kill enemy players with LMG.,6,
Assault,5,B,Kill 2 enemies with ASR or STG in less than 10 seconds.,5,Win Ghost War rounds.,3,
Assault,5,C,Kill enemies with CQC.,1,Suppress enemy players.,9,
Assault,6,A,Kill enemies with an Assault Rifle or Shotgun.,30,Kill enemy players with ASR/STG.,7,
Assault,6,B,Kill enemies while using True Grit.,3,Win Ghost War rounds.,4,
Assault,6,C,Kill 10 enemies with ASR or STG without dying.,1,Damage multiple enemy players.,12,
Assault,6,D,Kill 2 enemies with explosives in less than 10 seconds.,1,Mark enemy players.,12,
Assault,7,A,Kill enemies with an Assault Rifle or Shotgun.,40,Kill enemy players with ASR/STG.,8,
Assault,7,B,Kill 3 enemies with ASR or STG in less than 20 seconds.,5,Suppress enemy players.,15,
Assault,7,C,Kill enemies with grenades.,3,Win Ghost War rounds.,5,
Assault,7,D,Kill 3 enemies in one use of True Grit.,1,Mark enemy players.,15,
Assault,8,A,Kill enemies with an Assault Rifle or Shotgun.,50,Kill enemy players with LMG.,9,
Assault,8,B,Kill 2 enemies in less than 3 seconds.,5,Win Ghost War rounds.,7,
Assault,8,C,Kill 2 enemies with CQC in less than 20 seconds.,1,Damage multiple enemy players.,20,
Assault,8,D,Kill 20 enemies with ASR or STG without dying.,1,Mark enemy players.,20,
Assault,9,A,Kill enemies with an Assault Rifle or Shotgun.,60,Kill enemy players with ASR/STG.,6,
Assault,9,B,Destroy enemy drones.,10,Damage multiple enemy players.,25,
Assault,9,C,Kill 12 enemies with ASR or STG without reloading or swapping.,1,Win Ghost War rounds.,9,
Assault,9,D,Kill 2 enemies with CQC in less than 10 seconds.,1,Kill enemy players with LMG.,6,
Assault,10,A,Kill enemies with an Assault Rifle or Shotgun.,80,Kill enemy players with ASR/STG.,14,
Assault,10,B,Kill 3 enemies in less than 3 seconds.,10,Kill enemy players with explosives.,2,
Assault,10,C,Kill 40 enemies with ASR or STG without dying.,1,Win Ghost War rounds.,10,
Assault,10,D,Kill 6 enemies in one use of True Grit.,1,Kill 2 different players in the same match.,4,
Assault,11,A,Kill enemies on Golem Island.,40,Kill enemy players with ASR/STG.,32,
Assault,11,B,"Kill 4 enemies while detected, without getting hit,in Golem Island's Ancient Harbor.",1,Win Ghost War rounds.,12,
Assault,11,C,Kill an enemy quickly after performing a roll.,2,Mark enemy players.,22,
Assault,12,A,Kill 10 enemies in 35 seconds in Golem Island's Chemical Refinery.,1,Kill enemy players with LMG.,16,
Assault,12,B,Kill 15 enemies without dying in Golem Island's Chemical Pipeline.,1,Suppress enemy players.,22,
Assault,12,C,Kill 4 enemies in less than 3 seconds.,2,Damage multiple enemy players.,38,
Assault,13,A,"Kill 10 enemies with an STG, without dying, in Golem Island's Forgotten Sanctuary.",2,Kill enemy players with ASR/STG.,32,
Assault,13,B,Kill 2 enemies with one shot of an STG.,1,Damage multiple enemy players.,44,
Assault,13,C,Quickly kill one enemy with CQC and one with an STG (any order).,1,Win Ghost War rounds.,14,
Assault,14,A,"Kill 5 enemies while detected, without getting hit, in Golem Island's Scandium Mines.",1,Kill enemy players with ASR/STG.,35,
Assault,14,B,Run over enemies while piloting a helicopter.,1,Kill enemy players with explosives.,6,
Assault,14,C,Kill 2 enemies quickly after landing with a parachute.,1,Suppress enemy players.,24,
Assault,15,A,Kill 20 enemies without dying in Golem Island's Missile Site Ruins.,1,Kill enemy players with LMG.,18,
Assault,15,B,"Kill 20 enemies with an STG, without dying, in Golem Island's Lavaduct.",2,Kill 2 different players in the same match.,12,
Assault,15,C,Hit 4 headshots with 4 bullets in less than 30 seconds.,1,Win Ghost War rounds.,16,
Assault,16,A,Kill 10 enemies in Wild Coast province in less than 40 seconds.,1,Kill enemy players with ASR/STG.,35,
Assault,16,B,Kill 5 enemies while detected without getting hit.,1,Win Ghost War rounds.,18,
Assault,16,C,Kill enemies with two different firearms in 3 seconds.,2,Mark enemy players.,24,
Assault,17,A,Run enemies over with any vehicle.,4,Kill enemy players with ASR/STG.,38,
Assault,17,B,Run an enemy over with a vehicle then quickly kill 4 others with an ASR.,1,Suppress enemy players.,26,
Assault,17,C,Kill 8 enemies in one use of TRUE GRIT.,2,Damage multiple enemy players.,48,
Assault,18,A,Kill 10 enemies in Whaler's Bay province in less than 40 seconds.,1,Kill enemy players with LMG.,20,
Assault,18,B,Kill 3 enemies while detected without getting hit or missing a shot.,2,Damage multiple enemy players.,56,
Assault,18,C,Kills with a grenade thrown from more than 80m.,1,Win Ghost War rounds.,20,
Assault,19,A,Kill enemies with an STG from more than 150m.,5,Kill enemy players with ASR/STG.,38,
Assault,19,B,Kill 3 enemies in 3 seconds with an STG.,3,Kill enemy players with explosives.,8,
Assault,19,C,Kill 10 enemies with ASR or STG in one use of TRUE GRIT.,1,Suppress enemy players.,28,
Assault,20,A,Kill 10 enemies in Infinity Province in less than 40 seconds.,1,Kill enemy players with ASR/STG.,40,
Assault,20,B,"Quickly get one kill with CQC, two with different firearms, and one with an explosive (any order).",1,Kill 2 different players in the same match.,14,
Assault,20,C,Kills with a grenade thrown from less than 15m.,3,Win Ghost War rounds.,22,
Field Medic,2,A,Kill enemies with a firearm.,5,Kill enemy players with SMG/STG.,1,
Field Medic,2,B,Kill enemies with a headshot.,2,Revive teammates.,1,
Field Medic,3,A,Kill enemies with a firearm.,15,Kill enemy players with DMR.,2,
Field Medic,3,B,Buff any player with a Medkit.,1,Heal teammates with a Medkit.,2,
Field Medic,4,A,Kill enemies with a firearm.,20,Kill enemy players with SMG/STG.,4,
Field Medic,4,B,Kill enemies with CQC.,1,Revive teammates.,3,
Field Medic,4,C,Kill 2 enemies in less than 3 seconds.,1,Mark enemy players.,7,
Field Medic,5,A,Kill enemies with a firearm.,25,Kill enemy players with DMR.,5,
Field Medic,5,B,Destroy enemy drones.,1,Win Ghost War rounds.,4,
Field Medic,5,C,Kill from more than 150 meters away.,1,Revive teammates with medic drone.,4,
Field Medic,6,A,Kill enemies with a firearm.,30,Kill enemy players with SMG/STG.,6,
Field Medic,6,B,Kill 4 enemies with SMG or HDG without reloading.,4,Win Ghost War rounds.,4,
Field Medic,6,C,Kill enemies closer than 15 meters.,2,Heal teammates with a Medkit.,7,
Field Medic,6,D,Kill 3 enemies without being detected.,1,Damage multiple enemy players.,12,
Field Medic,7,A,Kill enemies with a firearm.,40,Heal teammates with a Medkit.,9,
Field Medic,7,B,Kill 3 enemies in less than 3 seconds.,2,Win Ghost War rounds.,5,
Field Medic,7,C,Kill 3 enemies with SMG without reloading or swapping.,2,Damage multiple enemy players.,15,
Field Medic,7,D,Kill enemies with any of your explosives.,1,Kill enemy players with DMR.,7,
Field Medic,8,A,Kill enemies with a firearm.,50,Damage multiple enemy players.,20,
Field Medic,8,B,Kill 10 enemies without dying.,1,Win Ghost War rounds.,7,
Field Medic,8,C,Kill 2 enemies with explosives in less than 10 seconds.,1,Revive teammates.,7,
Field Medic,8,D,Kill 2 enemies with CQC in less than 20 seconds.,1,Kill enemy players with SMG/STG.,10,
Field Medic,9,A,Kill enemies with a firearm.,60,Revive teammates with medic drone.,9,
Field Medic,9,B,Destroy enemy drones.,10,Kill enemy players with DMR.,10,
Field Medic,9,C,Kill 3 enemies in less than 3 seconds.,5,Mark enemy players.,15,
Field Medic,9,D,Kill 5 enemies without being detected.,2,Win Ghost War rounds.,9,
Field Medic,10,A,Kill enemies with a firearm.,80,Win Ghost War rounds.,10,
Field Medic,10,B,Kill 3 enemies in less than 3 seconds.,5,Revive teammates.,11,
Field Medic,10,C,Kill 30 enemies without dying.,1,Kill enemy players with DMR.,6,
Field Medic,10,D,Kill 8 enemies with SMG without reloading or swapping.,1,Kill enemy players with SMG/STG.,6,
Field Medic,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SMG/STG.,32,
Field Medic,11,B,Kill 6 enemies without reloading or swapping in Golem Island's Heliport.,2,Revive teammates.,26,
Field Medic,11,C,Kill 3 enemies quickly after leaving prone camo.,1,Heal teammates with a Medkit.,14,
Field Medic,12,A,Kill 8 enemies without missing a shot in Golem Island's Chemical Pipeline.,1,Kill enemy players with DMR.,32,
Field Medic,12,B,Kill 8 enemies in 32 seconds in Golem Island's Forgotten Sanctuary.,1,Revive teammates with medic drone.,16,
Field Medic,12,C,Kill enemies with two different firearms in 3 seconds.,1,Mark enemy players.,28,
Field Medic,13,A,Kill 15 enemies without getting detected in Golem Island's Camp Phoenix.,1,Kill enemy players with SMG/STG.,34,
Field Medic,13,B,Kill 5 enemies at the same time.,1,Heal teammates with a Medkit.,16,
Field Medic,13,C,Kill 4 enemies with headshots in less than 15 seconds.,1,Win Ghost War rounds.,14,
Field Medic,14,A,Kill 15 enemies without dying in Golem Island's Testing Zone.,1,Kill enemy players with SMG/STG.,34,
Field Medic,14,B,Kill 8 enemies without getting detected in Golem Island's Red Phoenix Outpost.,2,Revive teammates.,28,
Field Medic,14,C,Quickly kill 3 enemies with three different firearms.,1,Kill enemy players while unmarked.,24,
Field Medic,15,A,Kill enemies with CQC in Golem Island's Scandium Mines.,8,Kill enemy players with DMR.,36,
Field Medic,15,B,Kill enemies with a rocket launcher in Golem Island's No Man's Land.,8,Kill 2 different players in the same match.,8,
Field Medic,15,C,Quickly kill 6 enemies with C4 in Golem Island's Protype Workshop.,1,Win Ghost War rounds.,16,
