Prompt,Type,Reward,Notes
Remembering Bolivia,Vehicle,Scenery,
CIA double-crossing again,Title,Dreamcatcher,
A warrior's life,Title,Legend,
A warrior's life,Emblem,Tier 1 Expert,
A warrior's life,Weapon,SASG12 STG,Will be Advanced/blue quality if claimed right away.
The man from the 4th Echelon,Title,4th Echelon Operative,
The man from the 4th Echelon,Weapon,5.7 USG HDG,Will be Advanced/blue quality if claimed right away.
A girl called Twitch,Title,Rainbow Operative,
A girl called Twitch,Weapon / Blueprint,416 Black Ice,Will be Advanced/blue quality if claimed right away.
Silent Spade,Title,Future Soldier,
Silent Spade,Weapon / Blueprint,MK17 GRFS,Will be Advanced/blue quality if claimed right away.
Operation Oracle,Attachment,ATPIAL Handgun Laser,Shows up as and also unlocks the PEQ-15 without having to buy from shop.
,,,
,,,
Prompts may not appear in immersive mode; you may have to have Gear Score turned on.,,,
"Not a complete list, as I did not do all the missions/challenges in Wildlands to unlock everything - no PVP so no Knife, no Ghost Mode, etc.",,,
